course_code,course_name,units_of_credit,overview,offering_terms,campus,faculty
COMP9020,Foundations of Computer Science,6 Units of Credit,The official scope is: mathematical methods for designing correct and efficient programs; mathematics for algorithm analysis; logic for proving and verification.,"Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9021,Principles of Programming,6 Units of Credit,"This course provides students with solid conceptual knowledge and practical skills of both generic programming techniques and Python programming, to be used effectively in the many specialised courses that expect students to have acquired strong enough programming skills and well mastered the Python language. The features of the language are covered to a significant depth, and there is a strong emphasis on problem solving, from a broad base of application domains, with quite a few that involve mathematical notions. Like all foundation courses for postgraduate students, there is a lot of contents to study in limited time and the learning curve is not gentle. Still the course does not assume any prior knowledge of programming in general, or of Python programming in particular, as its content is self-contained for students with the expected mathematical background.","Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9024,Data Structures and Algorithms,6 Units of Credit,"Data structures are about how data is stored inside a computer for effective and efficient use. An algorithm is a step-by-step process for solving a problem within a finite amount of space and time. Data structures and algorithms are not only important in software design, but also in hardware design. Being proficient in data structures and algorithms are essential for good software developers, hardware developers, and system architects.","Summer Term, Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9311,Database Systems,6 Units of Credit,"Large data resources are critical to the functioning of just about every significant modern computer application, and so knowledge of how to manage them is clearly important in the industry. One very important platform for this is relational database management systems (RDBMSs).","Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9331,Computer Networks and Applications,6 Units of Credit,"This course is an introductory course on computer networks aimed at students with a computer science / electrical engineering background. You will focus on common paradigms and protocols used in present data communication. Through lectures, in-class activities, labs and assignments, you will learn the theory and application of:","Term 1, Term 2, Term 3",Sydney,Faculty of Engineering
COMP9820,Software Project Management,6 Units of Credit,"This course aims to introduce the students to the fundamental principles of modern management processes and practices, as well as tools and technologies for collaborative software development, deployment and release. The course will enable students to develop the knowledge and skills of managing software development in team environments. It will inspire students to be software development managers or team leaders. This course should equip students with the required knowledge and skills for carrying out industry-based capstone projects, managing project stakeholders and ensuring the delivery of software products that meet their desired needs.","Term 1, Term 3",Sydney,Faculty of Engineering
COMP4121,Advanced Algorithms,6 Units of Credit,"This course is a continuation of our introductory algorithms courses COMP3121/3821/9101/9801. We will cover some of the basic randomised algorithms and data structures, such as randomised hashing, skip-lists, order statistics and Karger's randomised Min Cut algorithm. We will then look at the Markov chains and the Google PageRank algorithm, the Hidden Markov Models and the Viterbi Algorithm, and then cover in quite a detail a variety of other algorithms important to the present day practice, such as the recommender systems as well as some of the algorithms used in Data Science. We will cover parts of three books: our COMP3121/3821/9101/9801 textbook Algorithm Design by Kleinberg and Tardosh, Networked Life by Mung Chiang and Foundations of Data Science by Blum, Hopcroft and Kannan. The first two books are available in the bookstore. A preprint of the third book is available for free at https://www.cs.cornell.edu/jeh/book.pdf.",,Sydney,Faculty of Engineering
COMP4128,Programming Challenges,6 Units of Credit,How do competitive programmers solve complex problems in a matter of minutes?,Term 2,Sydney,Faculty of Engineering
COMP4141,Theory of Computation,6 Units of Credit,"Computability: formal languages and problems, Turing Machines (TMs), computability, (semi-)decidability, universal TMs, Church-Turing thesis, halting problem, reduction and undecidability proofs, examples; Complexity: run time, space, complexity classes, non-determinism and NP, polynomial reductions and NP completeness, optimisation problems and approximation, randomisation; Languages and Automata: regular expressions and languages, finite automata, determinisation, context-free grammars and languages (CFLs), Chomsky normal form, word problems, pumping lemma, push-down automata, decidability problems for CFLs; Semantics and Correctness: while programs, assertions and program correctness, Hoare logic, loops and loop invariants, relative completeness of Hoare logic (and its role in a proof of Gödel's incompleteness result)",Term 1,Sydney,Faculty of Engineering
COMP4161,Advanced Topics in Software Verification,6 Units of Credit,"This course is about mechanical proof assistants, how they work, and what they can be used for. It presents specification and proof techniques used in industrial grade theorem provers, teaches the theoretical background to the techniques involved, and shows how to use a theorem prover to conduct formal proofs in practice. The courses is intended to bring third/fourth year and postgraduate students into contact with the current research topics in the field of theorem proving and automated deduction and to teach them the necessary skills to successfully use industrial grade verification environments in modelling and verification.",Term 3,Sydney,Faculty of Engineering
